algorithm,puzzle,time,nodes
Backtracking (pure),1,18.044211864471436,5155683
Backtracking (MRV),1,16.26932382583618,158025
AC-3 + Backtracking (pure),1,14.211059093475342,3772932
AC-3 + Backtracking (MRV),1,15.914334058761597,158020
Backtracking (pure),2,1.931272029876709,580159
Backtracking (MRV),2,0.5497422218322754,5214
Backtracking (LCV),2,7.399484872817993,574894
AC-3 + Backtracking (pure),2,1.6678946018218994,550120
AC-3 + Backtracking (MRV),2,0.5361459255218506,5204
AC-3 + Backtracking (LCV),2,6.8936240673065186,545036
Backtracking (MRV),3,0.8923940658569336,8942
AC-3 + Backtracking (pure),3,34.725117921829224,11023262
AC-3 + Backtracking (MRV),3,0.8458468914031982,8931
Backtracking (pure),4,35.59731101989746,10403330
Backtracking (MRV),4,1.9452500343322754,19392
Backtracking (LCV),4,24.482205867767334,1975384
AC-3 + Backtracking (pure),4,19.536247730255127,5207917
AC-3 + Backtracking (MRV),4,1.9132299423217773,19386
AC-3 + Backtracking (LCV),4,13.96798062324524,966833
Backtracking (pure),5,17.302998065948486,4701456
Backtracking (MRV),5,4.46930193901062,44038
AC-3 + Backtracking (pure),5,6.277746915817261,1815942
AC-3 + Backtracking (MRV),5,4.28891921043396,44026
AC-3 + Backtracking (LCV),5,22.298076152801514,1812610
Backtracking (pure),6,5.199055910110474,1599534
Backtracking (MRV),6,2.0406079292297363,18765
Backtracking (LCV),6,21.436380863189697,1591013
AC-3 + Backtracking (pure),6,2.780318021774292,917752
AC-3 + Backtracking (MRV),6,2.0035548210144043,18757
AC-3 + Backtracking (LCV),6,11.862259864807129,912851
Backtracking (pure),7,29.50774598121643,8607528
Backtracking (MRV),7,6.835323810577393,68600
Backtracking (LCV),7,41.21663784980774,3025566
AC-3 + Backtracking (pure),7,29.011884212493896,8093408
AC-3 + Backtracking (MRV),7,6.8047521114349365,68588
AC-3 + Backtracking (LCV),7,33.961130142211914,2826126
Backtracking (pure),8,43.89721417427063,12108741
Backtracking (MRV),8,3.672598123550415,36526
AC-3 + Backtracking (pure),8,9.104274988174438,2753600
AC-3 + Backtracking (MRV),8,3.368880033493042,36516
AC-3 + Backtracking (LCV),8,37.685287952423096,2753458
Backtracking (pure),9,23.16736602783203,6766445
Backtracking (MRV),9,10.328886985778809,97959
AC-3 + Backtracking (pure),9,2.5942270755767822,833646
AC-3 + Backtracking (MRV),9,10.04107403755188,97949
AC-3 + Backtracking (LCV),9,9.372199058532715,646500
Backtracking (MRV),10,7.07389497756958,71313
AC-3 + Backtracking (MRV),10,6.84745192527771,71308
